stadtplanadresse;standort;plz;laengengrad;breitengrad
Mecklenburgische Str. 89, 10713 Berlin;Aachener Str. Ecke Mecklenburgische Str.;10713;13,31822;52,48264
Am Volkspark 85, 10715 Berlin;Am Volkspark Ecke Blissestr.;10715;13,32056;52,48328
Aßmannshauser Str. 17, 14197 Berlin;Aßmannshauser Str. ggü. Nr. 17;14197;13,3139;52,47588
Ballenstedter Str. 2, 10709 Berlin;Ballenstedter Str. 2 Ecke Brandenburgische Str.;10709;13,30819;52,49537
Barstr. 42, 10713 Berlin;Barstr. Ecke Mannheimer Str. (Barbrücke);10713;13,31376;52,48393
Berkaer Str. 27, 14193 Berlin;Berkaer Str. Ecke Karlsbader Str.;14193;13,28279;52,4814
Bundesallee 180, 10715 Berlin;Bundesallee 180 Ecke Berliner Str.10 vor Eurogida;10715;13,33178;52,48756
Berliner Str. 80, 10713 Berlin;Berliner Str. 80 Ecke Hohenzollerndamm;10713;13,30691;52,48819
Bismarckstr. 78, 10627 Berlin;Bismarckstr. 78 Ecke Rückertstr.;10627;13,30327;52,51112
Bismarckstr. 20, 10625 Berlin;Bismarckstr. 20 ggü. Zauritzweg;10625;13,31282;52,51216
Brahestr. 6, 10589 Berlin;Brahestr. 6 - 7 / Sportplatz;10589;13,30251;52,52701
Brandenburgische Str. 1, 10713 Berlin;Brandenburgische Str. 1 - 2 Ecke Sigmaringer Str.;10713;13,31947;52,48725
Konstanzer Str. 18, 10707 Berlin;Konstanzer Str. 18;10707;13,3099;52,49395
Tharandter Str. 4, 10717 Berlin;Bundesallee 188 Ecke Tharandter Str.4;10717;13,33119;52,48992
Bundesallee 178, 10717 Berlin;Bundesallee 178 Ecke Berliner Str. (in der Wendeschleife);10715;13,33107;52,4869
Pücklerstr. 27, 14195 Berlin;Clayallee Nähe Pücklerstr. 27;14195;13,27817;52,46891
Bernadottestr. 17, 14195 Berlin;Clayallee / Messelstr. Ecke Bernadottestr. 17;14195;13,27868;52,47467
Damaschkestr. 35, 10711 Berlin;Damaschkestr. 35 Ecke Joachim-Friedrich-Str. 29;10711;13,29682;52,50132
Darwinstr. 1-5, 10589 Berlin;Darwinstr. 6 (ggü. Nr. 5);10589;13,31466;52,52164
Dauerwaldweg 1, 14055 Berlin;Dauerwaldweg 1 Ecke Falterweg;14055;13,25976;52,48983
Dillenburger Str. 4, 14199;Dillenburger Str. 4 / Schlangenbader Str. / Nahe Breitenbachplatz 4;14199;13,30871;52,46792
Durlacher Str. 15, 10715 Berlin;Durlacher Str. ggü. Nr. 15;10715;13,33358;52,4798
Konstanzer Str. 12, 10707 Berlin;Konstanzer Str. Ecke Wittelsbacher Str.  ;10707;13,3106;52,4953
Düsseldorfer Str. 74, 10719 Berlin;Düsseldorfer Str. Ecke Uhlandstr. vor Nah und gut;10719;13,32363;52,49522
Heerstr. 86,14055 Berlin;Flatowallee Ecke Heerstraße;14055;13,24238;52,50778
Hohenzollerndamm 136, 14199 Berlin;Flinsberger Platz Ecke Hohenzollerndamm / Wendehammer;14199;13,29292;52,48431
Forckenbeckstr. 37, 14199 Berlin;Forckenbeckstr. 37 Ecke Cunostr. / Sporthalle;14199;13,29631;52,48119
Hundekehlestr. 3, 14199 Berlin;Hundekehlestr. 3 / Friedrichshaller Str. / Breite Str. / Berkaer Str.;14199;13,28996;52,47574
Fritz-Wildung-Str. 26, 14199 Berlin;Fritz-Wildung-Str. 26 Ecke Cunostr.;14199;13,29634;52,48376
Gaußstr. 10, 10589 Berlin;Gaußstr. 10 vor der Laubenkolonie;10589;13,31003;52,52928
Gervinusstr. 3, 10629 Berlin;Gervinusstr. 3;10629;13,30623;52,50478
Guerickestr. 25, 10587 Berlin;Abbestraße nähe Guerickestr. 25;10587;13,32188;52,51655
Kaiserin-Augusta-Allee 31, 10589 Berlin;Goslarer Ufer / ggü. Kaiserin-Augusta-Allee 31;10589;13,31474;52,5255
Guerickestr. 39, 10587 Berlin;Guerickestr. Ecke Galvanistr.;10587;13,3156;52,51796
Letterhausweg 1, 10627 Berlin;Letterhausweg 1;13627;13,28239;52,53416
Halemweg 30, 13627 Berlin;Halemweg 30;13627;13,28681;52,53898
Harbigstr. 24, 14055 Berlin;Harbigstr. 24 ggü. Ecke Waldschulallee;14055;13,26231;52,50122
Harbigstr. 36, 14055 Berlin;Harbigstr. 36 / Parkplatz Kolonie Waldschule;14055;13,25957;52,49924
Heckerdamm 181, 13627 Berlin;Heckerdamm 181 ggü. Kolonie Olympia;13627;13,31136;52,53943
Heckerdamm 225-231, 13627 Berlin;Heckerdamm 231 vor Edeka;13627;13,29962;52,53942
Heerstr. 85, 14055 Berlin;Heerstr. 85 Ecke Kranzallee;14055;13,24237;52,50735
Heerstr. 162, 14055 Berlin;Heerstr. 162 Ecke Glockenturmstr.;14055;13,21782;52,50905
Ortelsburger Allee 1, 14055 Berlin;Heerstr. 61Nähe Ortelsburger Allee;14055;13,25039;52,50782
Heilmannring 98, 13627 Berlin;Heilmannring 98 / Toeplerstr.;13627;13,27954;52,53757
Helmholtzstr. 28, 10587 Berlin;Helmholtzstr. ggü. Nr. 28;10587;13,3257;52,52161
Hohenzollerndamm 208, 10717 Berlin;Hohenzollerndamm 208 / Wasserwerk;10717;13,3285;52,4948
Hohenzollerndamm 199, 10717 Berlin;Hohenzollerndamm 199 ggü. / Hohenzollernplatz;10717;13,32501;52,49394
Heilbronner Str. 12, 14057 Berlin;Holtzendorffstr. an der S-Bahnbrücke Ecke Heilbronner Str. 12;14057;13,29596;52,50246
Südwestkorso 36A, 14197 Berlin;Johannisberger Str.36A Ecke Südwestkorso neben REWE-Markt;14197;13,31152;52,46848
Johannisberger Str. 56, 14197 Berlin;Johannisberger Str. 56 Ecke Homburger Str.;14197;13,31103;52,47455
Jungfernheideweg 80, 13629 Berlin;Jungfernheideweg ggü. Nr. 80 Ecke Saatwinkler Damm;13629;13,27083;52,54765
Kaiserdamm 80, 14057 Berlin;Kaiserdamm 77 – 79 / RBB;14057;13,27609;52,50945
Karlsbader Str. 17, 14199 Berlin;Karlsbader Str. 17 / Hohenzollerndammvor Edeka;14199;13,28225;52,47835
Klausenerplatz 1, 14059 Berlin;Klausenerplatz 1 / Spandauer Damm / Neufertstraße;14059;13,29036;52,51893
Knobelsdorffstr. 85, 14059 Berlin;Knobelsdorffstr. 85 Nähe Königin-Elisabeth-Straße;14059;13,28255;52,5128
