,Adresse
"1,"""
                Miraustr. 35,
"            13509 Berlin–Reinickendorf"""
"2,"""
                Asgardstraße 3,
"            13089 Berlin–Weißensee"""
"3,"""
                Behmstraße 74,
"            10439 Berlin–Prenzlauer Berg"""
"4,"""
                Berliner Straße 110,
"            10713 Berlin–Wilmersdorf"""
"5,"""
                Brunsbütteler Damm 47,
"            13581 Berlin–Spandau"""
"6,"""
                Fischerstraße 16,
"            10317 Berlin–Lichtenberg"""
"7,"""
                Gradestraße 77,
"            12347 Berlin–Neukölln"""
"8,"""
                Hegauer Weg 17,
"            14163 Berlin–Zehlendorf"""
"9,"""
                Ilsenburger Straße 18-20,
"            10589 Berlin–Charlottenburg"""
"10,"""
                Lengeder Straße 6-18,
"            13407 Berlin–Reinickendorf"""
"11,"""
                Naumannstraße 88-92,
"            10829 Berlin–Schöneberg"""
